model_kind,M,lambda,train_RMSE,valid_RMSE
OLS,1,,0.44111740451554377,0.49841353463776716
OLS,2,,0.44029716487651016,0.499351997532229
OLS,3,,0.21396339723235194,0.25558840896984064
OLS,4,,0.21257492970306904,0.2598015326065453
OLS,5,,0.20992579489377752,0.27797175836159504
OLS,6,,0.20392028706118606,0.2792215081012152
OLS,7,,0.1374383487792435,0.4465166721849858
OLS,8,,3.5332565034827194e-07,0.7599964100004764
Ridge,8,1e-14,3.353212499828211e-05,0.7598694039165671
Ridge,8,1e-13,0.00033706149043622233,0.7587320112188498
Ridge,8,1e-12,0.00334232261297283,0.7475144505722175
Ridge,8,1e-11,0.027826654752451926,0.6595442541967187
Ridge,8,1e-10,0.1038778119263489,0.45603917827314355
Ridge,8,1e-09,0.14298397432068552,0.42442921042827025
Ridge,8,1e-08,0.1514880542632117,0.3903541441151389
Ridge,8,1e-07,0.1768451138784044,0.3159120254454293
Ridge,8,1e-06,0.1927821559682389,0.29286879000123
Ridge,8,1e-05,0.199240754415377,0.2861593707620403
Ridge,8,0.0001,0.20487551902332896,0.2805486693622302
Ridge,8,0.001,0.2136184940637979,0.27498479282941346
Ridge,8,0.01,0.22911357543036587,0.3093787714822989
Ridge,8,0.1,0.2630212255442668,0.3611160600109046
Ridge,8,1.0,0.32789287153879093,0.4181620816284749
Ridge,8,10.0,0.46255499442683046,0.5438895426920906
Ridge,8,100.0,0.5814345290049395,0.6665520664481571
